target,workload,strategy,size,iterations,ops,elapsed_us,ops_per_us,sink
bosatsu_jvm,collection_hash,int_fallback,64,4096,274432,389877,0.703893792144702,1185160448753902042854
bosatsu_jvm,collection_hash,int64_limb_31,64,1024,68608,400844,0.17115885481633752,296290112170132572621
bosatsu_jvm,hash_map_hash,int_fallback,64,512,100352,257311,0.39000275930683104,742263005660453113216
bosatsu_jvm,hash_map_hash,int64_limb_31,64,256,50176,355413,0.14117660299426302,371131502831618008534
bosatsu_jvm,hash_set_hash,int_fallback,64,512,67584,209907,0.3219711586559762,741967438646335146368
bosatsu_jvm,hash_set_hash,int64_limb_31,64,256,33792,255311,0.13235622436949446,370983719324559025110
bosatsu_jvm,collection_hash,int_fallback,512,512,263680,397220,0.6638135038517698,1043160778125052860614
bosatsu_jvm,collection_hash,int64_limb_31,512,128,65920,373724,0.1763868523295266,260790194532077128838
bosatsu_jvm,hash_map_hash,int_fallback,512,64,98560,253813,0.38831738327036047,102997642685844650409
bosatsu_jvm,hash_map_hash,int64_limb_31,512,32,49280,337385,0.14606458496969338,51498821337970391719
bosatsu_jvm,hash_set_hash,int_fallback,512,64,65792,204540,0.32165835533392,74028031640920586857
bosatsu_jvm,hash_set_hash,int64_limb_31,512,32,32896,242142,0.1358541682153447,37014015815508359943
bosatsu_jvm,collection_hash,int_fallback,4096,64,262336,405521,0.6469110107737946,52139051729341282885
bosatsu_jvm,collection_hash,int64_limb_31,4096,16,65584,369670,0.17741228663402495,13034762930454379635
bosatsu_jvm,hash_map_hash,int_fallback,4096,8,98336,251290,0.39132476421664214,6602944890463656100
bosatsu_jvm,hash_map_hash,int64_limb_31,4096,4,49168,335241,0.1466646382751513,3301472445700121884
bosatsu_jvm,hash_set_hash,int_fallback,4096,8,65568,213794,0.3066877461481613,6585595175574440372
bosatsu_jvm,hash_set_hash,int64_limb_31,4096,4,32784,245205,0.13370037315715422,3292797588255514020
bosatsu_c,collection_hash,int_fallback,64,8192,548864,204885,2.6788881567708716,2370320897496608040790
bosatsu_c,collection_hash,int64_limb_31,64,131072,8781824,395494,22.20469589930568,37925134360832499709591
bosatsu_c,hash_map_hash,int_fallback,64,4096,802816,319113,2.515773409419234,5938104045231588277990
bosatsu_c,hash_map_hash,int64_limb_31,64,32768,6422528,371551,17.285723897930566,47504832362010919935809
bosatsu_c,hash_set_hash,int_fallback,64,4096,540672,223364,2.420587023871349,5935739509118644543206
bosatsu_c,hash_set_hash,int64_limb_31,64,32768,4325376,275072,15.724523033969287,47485916073107370057537
bosatsu_c,collection_hash,int_fallback,512,1024,527360,208443,2.529996209995059,2086321556237998949495
bosatsu_c,collection_hash,int64_limb_31,512,16384,8437760,369230,22.85231427565474,33381144900041711182233
bosatsu_c,hash_map_hash,int_fallback,512,512,788480,316977,2.487499092994129,823981141454448771782
bosatsu_c,hash_map_hash,int64_limb_31,512,4096,6307840,364184,17.320475364101664,6591849131657188261855
bosatsu_c,hash_set_hash,int_fallback,512,512,526336,211361,2.4902228888016236,592224253095056263366
bosatsu_c,hash_set_hash,int64_limb_31,512,4096,4210688,287180,14.662190960373286,4737794024782048194527
bosatsu_c,collection_hash,int_fallback,4096,128,524672,330436,1.5878173080414968,104278103448801214862
bosatsu_c,collection_hash,int64_limb_31,4096,1024,4197376,180637,23.236524078677125,834224827588557773266
bosatsu_c,hash_map_hash,int_fallback,4096,64,786688,371861,2.115543173390057,52823559130743620741
bosatsu_c,hash_map_hash,int64_limb_31,4096,512,6293504,491821,12.79633037222892,422588473008657867993
bosatsu_c,hash_set_hash,int_fallback,4096,64,524544,322909,1.6244328897615117,52684761411629894917
bosatsu_c,hash_set_hash,int64_limb_31,4096,512,4196352,384265,10.920463742469389,421478091255748061401
